time,target_roll_deg,actual_roll_deg,Fx,Fy,Fz,base_load,left_load,right_load,fixture_torque_Nm,fixture_work_J,mechanical_energy_J
7.099999999999999645e-01,2.765542543314916912e+01,2.951955467054268212e+01,4.152282625345948830e-04,3.877695681223236601e+00,1.860216274997806920e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.860216274997806920e+02,3.365740348705656970e+00,3.039442489927984603e+00,7.996287647630183848e+00
7.199999999999999734e-01,2.696796349715262409e+01,2.894139675770246356e+01,3.931228847595669151e-04,3.722252777997840489e+00,1.859472644172791149e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.859472644172791149e+02,3.452734733575482551e+00,3.005018310744724364e+00,7.960935977390143137e+00
7.299999999999999822e-01,2.625388743706609063e+01,2.833373861108570679e+01,3.727330844575660329e-04,3.559658031004642620e+00,1.858733001358285719e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.858733001358285719e+02,3.543642926967351059e+00,2.967893238140080658e+00,7.922850531585551082e+00
7.399999999999999911e-01,2.551390195974940056e+01,2.769720222282839117e+01,3.533581212991077081e-04,3.389828245347855429e+00,1.858005315046950159e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.858005315046950159e+02,3.638343996451880002e+00,2.927971747277301695e+00,7.881944874828445968e+00
7.500000000000000000e-01,2.474873734152916427e+01,2.703243420158775123e+01,3.350659306665115800e-04,3.212799942192376079e+00,1.857297718529235624e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.857297718529235624e+02,3.736696321277179322e+00,2.885158632145859769e+00,7.838132072401088557e+00
7.600000000000000089e-01,2.395914870750410586e+01,2.634010638189027276e+01,3.176454813728635251e-04,3.028709000151742714e+00,1.856618382507123499e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.856618382507123499e+02,3.838540279250310050e+00,2.839359956894104364e+00,7.791325836980091957e+00
7.700000000000000178e-01,2.314591528632781703e+01,2.562091607131407400e+01,3.011233284347381023e-04,2.837776425885930820e+00,1.855975381028375182e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.855975381028375182e+02,3.943700636805772319e+00,2.790484000648715046e+00,7.741441597241166761e+00
7.800000000000000266e-01,2.230983964120414598e+01,2.487558602419674258e+01,2.854787570607530967e-04,2.640297951248032682e+00,1.855376632320876240e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.855376632320876240e+02,4.051988461860958068e+00,2.738442193814098147e+00,7.688397500331007883e+00
7.900000000000000355e-01,2.145174687785417689e+01,2.410486420406808961e+01,2.707520364582660655e-04,2.436636304781528484e+00,1.854829847338324100e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854829847338324100e+02,4.163202791935816549e+00,2.683150041105733852e+00,7.632115359196840920e+00
8.000000000000000444e-01,2.057248383023656402e+01,2.330952338274065738e+01,2.569869349720310669e-04,2.227215438568131756e+00,1.854342487585680033e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854342487585680033e+02,4.277132080735327690e+00,2.624528026809187953e+00,7.572521552173570925e+00
