time,target_roll_deg,actual_roll_deg,Fx,Fy,Fz,base_load,left_load,right_load,fixture_torque_Nm,fixture_work_J,mechanical_energy_J
2.399999999999999911e-01,2.395914870750409875e+01,1.982432598329729245e+01,-2.888180223301062277e-06,1.222771065882537256e+00,1.853654594717611417e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853654594717611417e+02,4.851405122091136946e+00,2.310512775905152250e+00,7.302357117171961676e+00
2.500000000000000000e-01,2.474873734152916072e+01,2.070880832505621427e+01,8.264468941233948929e-06,1.460113128296410157e+00,1.853713809621355040e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853713809621355040e+02,4.735108623863879984e+00,2.384495520791913847e+00,7.376036930248806911e+00
2.600000000000000089e-01,2.551390195974940411e+01,2.157240574803163113e+01,2.259084292829949270e-05,1.691581229848658552e+00,1.853888553126132024e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853888553126132024e+02,4.621659685353932900e+00,2.455000222139866572e+00,7.446179832966748791e+00
2.700000000000000178e-01,2.625388743706608352e+01,2.241417471535968531e+01,4.003706902067083462e-05,1.917181274272047986e+00,1.854164924604845339e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854164924604845339e+02,4.511162359691553547e+00,2.522078036491960162e+00,7.512832439556949460e+00
2.800000000000000266e-01,2.696796349715262409e+01,2.323321322486444274e+01,6.048032439277817307e-05,2.136794643098164137e+00,1.854530828982394723e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854530828982394723e+02,4.403743536123869262e+00,2.585787237617208412e+00,7.576049140560387585e+00
2.899999999999999800e-01,2.765542543314915847e+01,2.402865677809447575e+01,8.373737723442464809e-05,2.350218935675584486e+00,1.854975433106361038e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854975433106361038e+02,4.299542239254918741e+00,2.646192362781778940e+00,7.635891403346790618e+00
2.999999999999999889e-01,2.831559480312315813e+01,2.479967563316218104e+01,1.095734917005430908e-04,2.557199179958776103e+00,1.855488782431156096e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.855488782431156096e+02,4.198701356779793059e+00,2.703363331334402098e+00,7.692427047810928009e+00
3.099999999999999978e-01,2.894782009960966107e+01,2.554547302741732295e+01,-1.064754182741045607e-04,2.764820673165680809e+00,1.856109223271400026e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.856109223271400026e+02,4.101338993891886275e+00,2.757374533601978150e+00,7.745729497556786747e+00
3.200000000000000067e-01,2.955147739257052919e+01,2.626531772810772836e+01,2.835705715599305676e-02,3.077625152350242477e+00,1.857193665744228781e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.857193665744228781e+02,4.004670957059687453e+00,2.808290537386394892e+00,7.795874527561683642e+00
3.300000000000000155e-01,3.012597094513802531e+01,2.695851551622997988e+01,3.184709005554180183e-02,3.287166514753347535e+00,1.857620655030120247e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.857620655030120247e+02,3.912097882750913413e+00,2.856172238429134591e+00,7.842947398468024467e+00
