index,time_s,phase,yaw_unwrapped_deg,dynamic_valid,front_cross,palm_tail_distance_m,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
10,0.4,cross_tail_touch,230.06494670909973,True,True,0.0027824402911864844,-0.9280389983607601,-0.22297915914357816,1.0152383892396226,1.7438244698323897,-0.847662449325042,0.2368004172350735,-2.4152057165780687,-0.2860638260598967,0.3716804060078066,2.634454320500594,0.27505178977082273,-0.01837535553369582,-0.33433910414178675,0.24911479703436024,0.399107079417964,-1.0056744949228002e-06,0.2999999609590888,-6.326027966486324e-08,0.5999996007552639,-7.400031813724055e-10,-7.27479327814827e-08,-1.3293303517329435e-08,-0.11024973360270313,-0.301044524414989,-0.2119917911055902,1.821567753811893,-0.0903228578599213,0.9768693091519988,0.8766596895905545
11,0.46,cross_tail_touch,264.8510071547889,True,True,0.002733768098641229,-0.9280312039335776,-0.2229716902033083,1.0152644011406224,1.7438323120285646,-0.8476691896289985,0.23679982817029022,-2.4151971978885522,-0.28604411292858056,0.37169288726797206,2.6344420193583433,0.2750425447522925,-0.018377790420680815,-0.3343718054408396,0.24908582426949713,0.3991032907615376,-8.932863893575155e-07,0.29999990687726946,-8.163311059527592e-08,0.5999996754026969,-5.180877251304252e-10,-5.8968204423700254e-08,-1.6071003660705647e-08,-0.1102240654667428,-0.30100440336481055,-0.2119805534653701,1.8215678758370693,-0.09032286194973006,0.9768693440648224,0.8766596928971929
12,0.52,cross_tail_touch,300.0549759053816,True,True,0.0028271960844898827,-0.9280274953343873,-0.22296557849925236,1.0152851876731903,1.7438405963978851,-0.847670243792208,0.23679965429518432,-2.415188796992555,-0.2860247010002072,0.37170430774991947,2.634429146103614,0.2750472400111405,-0.01837979081097945,-0.3343984278220171,0.24906205481339,0.3991010801678588,-7.098149210154137e-07,0.29999988378309006,-7.958698070446336e-08,0.5999997779406571,-3.098752861559845e-10,-3.866946220288717e-08,-1.2986597124581735e-08,-0.11020027658668638,-0.30096924502803235,-0.21197093672669295,1.8215678753740752,-0.09032286119403812,0.976869342690988,0.8766596948554369
13,0.58,cross_tail_touch,335.7344947845556,True,True,0.0029840016378589167,-0.9280268096219607,-0.22296066299488101,1.0153022497088349,1.7438481418506864,-0.8476658150334764,0.23680007681596368,-2.4151804242058796,-0.28600611554816646,0.37171472693390367,2.634417794922917,0.27504780322967454,-0.018381767380532828,-0.33442000759581336,0.2490424399719251,0.3990996542644057,-5.318343669263453e-07,0.299999902450664,-6.543577023521966e-08,0.5999998579774318,-2.8686633031814514e-10,-2.4520240841702795e-08,-9.584547644944765e-09,-0.1101788143302305,-0.30093842043195634,-0.21196267274675673,1.8215678521500056,-0.09032287015430436,0.9768693291439736,0.8766596861084024
14,0.64,cross_tail_touch,371.8449192149623,True,True,0.0029973336543827225,-0.9280284137277525,-0.2229573975105196,1.0153152315492933,1.7438548930702324,-0.847667028070587,0.23680000954621047,-2.4151722781021365,-0.28598887363752556,0.3717248258729413,2.6344077502420866,0.27504473918105615,-0.01838399004552525,-0.3344378636604841,0.24902641014901625,0.3990986619751796,-4.380989807001611e-07,0.2999998966063655,-6.247634671819645e-08,0.5999998839442037,-1.7300452146653683e-10,-2.1078109252253814e-08,-9.547532810889767e-09,-0.11015977664528338,-0.30091142791901604,-0.21195554457644394,1.8215678609760497,-0.09032287175323747,0.9768693336794547,0.8766596862289852
15,0.7,cross_tail_touch,408.22101827684673,True,True,0.0030301238613075028,-0.9280311678313595,-0.22295489338389599,1.0153256476204606,1.7438612455756939,-0.8476686359955196,0.2367998414043599,-2.4151641910867596,-0.2859729562730658,0.3717344888184644,2.6343980571557055,0.27504448895407946,-0.018386144108250357,-0.33445264987676687,0.24901325234166075,0.399097815983505,-3.513652944753964e-07,0.299999897194677,-5.6327618707407094e-08,0.5999999092479331,-8.855138931081375e-11,-1.6018028217095263e-08,-8.28662457024291e-09,-0.11014307361000274,-0.3008877097728686,-0.2119493602388082,1.821567850683751,-0.09032286936516078,0.9768693358579407,0.8766596895915464
16,0.76,cross_tail_touch,444.6079811376927,True,True,0.0030503233020326187,-0.9280345465288434,-0.22295271247171836,1.0153344949758802,1.7438671175668525,-0.8476671568191582,0.2367999696505983,-2.4151562283258183,-0.2859582854742656,0.37174366479926096,2.634389053233054,0.27504397850464785,-0.018388215717425594,-0.334464894807304,0.24900242140944087,0.39909704840376664,-2.6181223023186016e-07,0.2999999161861989,-4.472030240475811e-08,0.5999999384813839,-1.3935833815974332e-10,-1.0854958381292646e-08,-6.05614409255332e-09,-0.11012852373001956,-0.30086681295477896,-0.21194398209283927,1.8215678247568825,-0.09032287108074379,0.9768693291922286,0.8766596879123297
17,0.82,uncross,480.5772451614522,True,True,0.003267603700565219,-0.9265868811527116,-0.22148683017284748,1.0083053672710154,1.7408375371166487,-0.8417607724313649,0.2356349017222881,-2.4026512657316488,-0.2839181036686328,0.36909061964071144,2.624927970996799,0.2739147188220065,-0.01844832843575032,-0.3318572629292114,0.24739263264923314,0.3964321594709926,-0.0015985294275635538,0.30562411290051206,0.00011474776923690977,0.598181315766426,3.6750694251119847e-06,-4.9732417805860395e-05,1.8025986633556404e-06,-0.11093580702412217,-0.3059811045624286,-0.2107039325693359,1.8104921549691004,-0.09009224859431872,0.9700093471042813,0.8705691265815391
18,0.88,uncross,514.2463993737205,True,True,0.03777830443022965,-0.9076195960011713,-0.20285103857916667,0.9223061830246594,1.7029665539628382,-0.7680068776049906,0.21518659539672874,-2.2557309495359608,-0.25936162341125096,0.33728141124578365,2.5107644008017953,0.2511640719758442,-0.017305972838979014,-0.30322583288639393,0.22672236793111963,0.36288821326942516,-0.02275439083944358,0.3742219246691434,0.0004696291627153153,0.5725596457937827,1.1738618587408239e-05,-0.00010055865146020042,2.0199865456667055e-06,-0.12274125493204328,-0.3741798229685981,-0.19261405702178433,1.6798240901255659,-0.08246409280308654,0.8860444746405772,0.7952100307593085
19,0.94,uncross,544.1566618255657,True,False,0.13490110398400018,-0.86267475362454,-0.15898728784082208,0.7211096867712923,1.6153175770007162,-0.598513060304481,0.16844685664233822,-1.9170128837800655,-0.20292739004654034,0.26383185775543827,2.2469337494562343,0.19869686518934818,-0.013664233256574869,-0.23728123514811691,0.17766148359158043,0.28413191683535566,-0.07216215107040472,0.5323157597720789,0.0005925314812246432,0.5132601535557126,9.815566255022037e-06,-9.66642945489502e-05,1.4870814577304042e-06,-0.15033801831638385,-0.5322820885967329,-0.150753803736597,1.3791610312058524,-0.06462138579009559,0.6930235262310283,0.6219896438107212
20,1.0,uncross,571.631440827675,True,False,0.3831244239617415,-0.802591030703811,-0.10050500546264513,0.454225983156276,1.4986117900375615,-0.3731683350248944,0.10620669575860067,-1.4662505604865115,-0.128053869088615,0.16658338797584707,1.8960189005374972,0.1289671430748895,-0.008881543829152426,-0.14903107457393072,0.11310428991225148,0.17937327888933907,-0.13800544831560818,0.7422051808353118,0.0003268529676426829,0.43431852049690634,7.205662722672659e-07,-4.4925184136093506e-05,-1.0903490302712774e-05,-0.18677296869534393,-0.750902463936262,-0.09403982941936224,0.979457482126801,-0.04049803537346047,0.4363527461208284,0.39201104069359816
21,1.06,uncross,599.4951358936054,True,False,0.7387352344770042,-0.7467660819905195,-0.04706274760609515,0.20681248469004232,1.389872651799943,-0.16244895694046527,0.04782434613631019,-1.0453132083238708,-0.05895287843013766,0.0773699018548011,1.5683213330027541,0.06379085339931015,-0.0044917636789676444,-0.0650838574654894,0.056028198036989545,0.08271253034325649,-0.19934114069204995,0.9394800025220762,-9.591657089258664e-06,0.3606880233999616,-5.180511472793395e-06,2.6548636760202553e-05,2.018470951559263e-05,-0.2201002051971808,-1.0554361721641563,-0.040988661691043905,0.6058602213779095,-0.01858988634825389,0.1964621050344059,0.17656305930850283
22,1.12,uncross,628.7961072887895,True,False,0.9587524307159445,-0.7100388803464689,-0.010199418177974711,0.044644587804268394,1.3205109220961533,-0.029557542789669513,0.011582257170583112,-0.7775784302213409,-0.012743965037171298,0.015247627976618053,1.3605903138664543,0.022629365832949354,-0.0012092933883770742,-0.017957633636449352,0.008989793258778796,0.016347226365803876,-0.23791285752563707,1.0635599393652961,-0.00028997441053441557,0.3143924056896318,-2.9405523466863775e-06,0.00013259933851721855,4.726065257630295e-05,-0.24746944544917948,-1.2471992957469826,-0.016877946223753236,0.3696299907378129,-0.0048868259681736975,0.044976087278759076,0.039529809922287176
23,1.18,uncross,658.6846717416706,True,False,0.9741646342126756,-0.6988161526703623,0.0019926098181023044,-0.0021048776899216626,1.3019539083331118,0.009248805219423657,0.0009145363630235252,-0.7002978230595976,0.0020198606678369416,-0.0025359142758036874,1.3015270698494643,0.010836708368579124,8.310870641506177e-05,-0.0027019199796559945,-0.006759190949997409,-0.0018639749565124964,-0.24891783521672567,1.0968038249349612,-0.0009303148029025398,0.30060203253684753,-1.59846399982866e-05,4.821706143732364e-05,-5.3616104821230834e-05,-0.25050331182829594,-1.124065060872818,0.001806457751153098,0.3006923764275455,-0.0004049905057591064,0.0009361116409811668,0.0016681386612449856
24,1.24,parallel_before_landing,689.216627845046,True,False,0.966195509344506,-0.7003843318996302,-0.0004048870136587693,0.0019612670222294245,1.3001023096555533,0.009946287441178666,-0.00014252246677452408,-0.7001680261588367,-0.0003534003166839285,0.0019037715613586688,1.300246190958949,0.010054394311484059,-0.00016471623392297788,0.0010569365945707395,0.0016870880658454344,0.0009984201906168325,-0.24975064963263507,1.100313175871293,-1.045889956527906e-05,0.3000648122963702,1.2116886551055136e-06,-9.092434756523947e-06,3.19139161480069e-05,-0.24801343357762537,-1.0988065811402272,0.0024636985326596077,0.30016264489732275,-1.2701124947818168e-06,7.001622317773903e-05,0.0003092285640675298
25,1.3,touchdown_boundary,719.9110885855212,True,False,0.9667847443496,-0.7003624319390936,-0.00047436786011324886,0.000680193028225357,1.2999708305297932,0.009948386059925185,-4.597167676638905e-05,-0.7000715155306537,-0.0004301780225226367,0.0006854404529135988,1.30017724155885,0.010012165236441177,-4.67294643918341e-05,0.0008152954478615956,0.0015167760729207416,0.0006920404739350548,-0.24993007209054405,1.1003923884312024,0.00010951117544555277,0.2999888510663071,6.019644421249789e-07,-9.698744687344715e-06,1.4188995149343232e-05,-0.2491833322877233,-1.0992924214530098,0.0006251966123518142,0.30008940936439354,6.520785372736818e-07,1.1836697122267305e-05,2.4082201561700633e-05
26,1.35,landing_absorption_pose_goal,720.0,False,False,0.8983611333989155,-0.9075,0.0,0.0,1.65,-0.13163571422952836,0.0,-0.9075,0.0,0.0,1.65,-0.13163571422952836,0.0,0.0,0.0,0.0,-0.25,1.1,0.0,0.3,0.0,0.0,0.0,-0.25,-1.1,0.0,0.3,0.0,0.0,0.0
27,1.45,landing_absorption_pose_goal,720.0,False,False,0.8706031625968353,-0.99,0.0,0.0,1.8,-0.19913571422952847,0.0,-0.99,0.0,0.0,1.8,-0.19913571422952847,0.0,0.0,0.0,0.0,-0.25,1.1,0.0,0.3,0.0,0.0,0.0,-0.25,-1.1,0.0,0.3,0.0,0.0,0.0
28,1.6,landing_absorption_pose_goal,720.0,False,False,0.9254747839628256,-0.825,0.0,0.0,1.5,-0.06413571422952846,0.0,-0.825,0.0,0.0,1.5,-0.06413571422952846,0.0,0.0,0.0,0.0,-0.25,1.1,0.0,0.3,0.0,0.0,0.0,-0.25,-1.1,0.0,0.3,0.0,0.0,0.0
29,1.8,landing_absorption_pose_goal,720.0,False,False,0.964461061333868,-0.715,0.0,0.0,1.3,0.010911482805130435,0.0,-0.715,0.0,0.0,1.3,0.010911482805130435,0.0,0.0,0.0,0.0,-0.25,1.1,0.0,0.3,0.0,0.0,0.0,-0.25,-1.1,0.0,0.3,0.0,0.0,0.0
